,name,position,draft_year,height,college,birthPlace,birthDate,draft_team,draft_pick,highSchool
1588,Eddie Griffin,Power Forward and Center,2001,6-10,Seton Hall University,"Philadelphia, Pennsylvania","May 30, 1982",New Jersey Nets,7th overall,"Roman Catholic in Philadelphia, Pennsylvania"
1590,Paul Griffin,Power Forward and Center,1976,6-9,Western Michigan University,"Shelby, Michigan","January 20, 1954",New Orleans Jazz,74th overall,"Shelby in Shelby, Michigan"
1591,Taylor Griffin,Small Forward,2009,6-7,University of Oklahoma,"Oklahoma City, Oklahoma","April 18, 1986",Phoenix Suns,48th overall,"Oklahoma Christian School in Edmond, Oklahoma"
1592,Darrell Griffith,Shooting Guard,1980,6-4,University of Louisville,"Louisville, Kentucky","June 16, 1958",Utah Jazz,2nd overall,"Male in Louisville, Kentucky"
1596,Dick Groat,Point Guard,1952,5-11,Duke University,"Wilkinsburg, Pennsylvania","November 4, 1930",Fort Wayne Pistons,3rd overall,"Swissvale in Swissvale, Pennsylvania"
1597,Bob Gross,Small Forward,1975,6-6,"Seattle University, California State University, Long Beach","San Pedro, California","August 3, 1953",Portland Trail Blazers,25th overall,"Fermin Lausen in San Pedro, California"
1598,Mike Grosso,Center,1969,6-9,University of Louisville,"Raritan, New Jersey","September 7, 1947",Philadelphia 76ers,42nd overall,"Bridgewater-Raritan in Raritan, New Jersey"
1600,Alex Groza,Center,1949,6-7,University of Kentucky,"Martins Ferry, Ohio","October 7, 1926",Indianapolis Olympians,2nd overall,"Martins Ferry in Martins Ferry, Ohio"
1603,Ernie Grunfeld,Shooting Guard and Small Forward,1977,6-6,University of Tennessee,"Satu-Mare, Romania","April 24, 1955",Milwaukee Bucks,11th overall,"Forest Hills in Forest Hills, New York"
1604,Gene Guarilia,Small Forward,1959,6-5,George Washington University,"Duryea, Pennsylvania","September 13, 1937",Boston Celtics,14th overall,"Holy Rosary in Duryea, Pennsylvania"
1605,Petur Gudmundsson,Center,1981,7-2,University of Washington,"Reykjavik, Iceland","October 30, 1958",Portland Trail Blazers,61st overall,"Mercer Island in Mercer Island, Washington"
1606,Richie Guerin,Shooting Guard,1954,6-4,Iona College,"New York, New York","May 29, 1932",New York Knicks,17th overall,"Mount Saint Michael in Bronx, New York"
1607,Tom Gugliotta,Small Forward and Power Forward,1992,6-10,North Carolina State University,"Huntington Station, New York","December 19, 1969",Washington Bullets,6th overall,"Walt Whitman in Huntington Station, New York"
1614,Matt Guokas,Shooting Guard and Small Forward,1966,6-5,Saint Joseph's University,"Philadelphia, Pennsylvania","February 25, 1944",Philadelphia 76ers,9th overall,"St. Joseph's Preparatory School in Philadelphia, Pennsylvania"
1616,A.J. Guyton,Point Guard,2000,6-1,Indiana University,"Peoria, Illinois","February 12, 1978",Chicago Bulls,32nd overall,"Central in Peoria, Illinois"
1617,Rudy Hackett,Power Forward,1975,6-9,Syracuse University,"Mount Vernon, New York","May 10, 1953",New Orleans Jazz,37th overall,"Mount Vernon in Mount Vernon, New York"
1619,Jim Hadnot,Center,1962,6-10,Providence College,"Jasper, Texas","January 15, 1940",Boston Celtics,25th overall,"McClymonds in Oakland, California"
1620,Scott Haffner,Point Guard,1989,6-3,"University of Illinois at Urbana-Champaign, University of Evansville","Terre Haute, Indiana","February 2, 1966",Miami Heat,45th overall,"Noblesville in Noblesville, Indiana"
1622,Glenn Hagan,Point Guard,1978,6-0,St. Bonaventure University,"Sanford, Florida","June 25, 1955",Philadelphia 76ers,43rd overall,"Cardinal Mooney in Rochester, New York"
1623,Tom Hagan,Point Guard and Shooting Guard,1969,6-3,Vanderbilt University,"Louisville, Kentucky","January 29, 1947",San Francisco Warriors,36th overall,"Saint Xavier in Louisville, Kentucky"
1626,Happy Hairston,Power Forward and Small Forward,1964,6-7,New York University,"Winston-Salem, North Carolina","May 31, 1942",Cincinnati Royals,33rd overall,"Atkins in Winston-Salem, North Carolina"
1627,Lindsay Hairston,Small Forward,1975,6-7,Michigan State University,"Detroit, Michigan","December 8, 1951",Detroit Pistons,64th overall,"Kettering in Detroit, Michigan"
1628,Malik Hairston,Shooting Guard,2008,6-6,University of Oregon,"Detroit, Michigan","February 23, 1987",Phoenix Suns,48th overall,"Renaissance in Detroit, Michigan"
1629,P.J. Hairston,Small Forward and Shooting Guard,2014,6-6,University of North Carolina,"Greensboro, North Carolina","December 24, 1992",Miami Heat,26th overall,"Hargrave Military Academy in Chatham, Virginia"
1630,Marcus Haislip,Power Forward and Small Forward,2002,6-10,University of Tennessee,"Lewisburg, Tennessee","December 22, 1980",Milwaukee Bucks,13th overall,"Marshall City in Lewisburg, Tennessee"
1635,Jack Haley,Power Forward and Center,1987,6-10,"University of California, Los Angeles","Long Beach, California","January 27, 1964",Chicago Bulls,79th overall,"Huntington Beach in Huntington Beach, California"
1636,Shaler Halimon,Shooting Guard and Small Forward,1968,6-5,Utah State University,"Tampa, Florida","March 30, 1945",Philadelphia 76ers,14th overall,"Romulus in Romulus, Michigan"
1640,Steve Hamer,Center,1996,7-0,University of Tennessee,"Memphis, Tennessee","November 13, 1973",Boston Celtics,38th overall,"Middleton in Middleton, Tennessee"
1642,Daniel Hamilton,Shooting Guard,2016,6-7,University of Connecticut,"Los Angeles, California","August 8, 1995",Denver Nuggets,56th overall,"St. John Bosco in Bellflower, California"
1644,Joe Hamilton,Point Guard,1970,5-10,University of North Texas,"Lexington, Kentucky","July 5, 1948",Milwaukee Bucks,152nd overall,"Dunbar in Lexington, Kentucky"
1645,Jordan Hamilton,Small Forward,2011,6-7,University of Texas at Austin,"Los Angeles, California","October 6, 1990",Dallas Mavericks,26th overall,"Dominguez in Compton, California"
1646,Justin Hamilton,Center,2012,7-0,"Iowa State University, Louisiana State University","Newport Beach, California","April 1, 1990",Philadelphia 76ers,45th overall,"Lone Peak in Highland, Utah"
1648,Richard Hamilton,Small Forward and Shooting Guard,1999,6-6,University of Connecticut,"Coatesville, Pennsylvania","February 14, 1978",Washington Wizards,7th overall,"Coatesville Area in Coatesville, Pennsylvania"
1649,Roy Hamilton,Point Guard,1979,6-2,"University of California, Los Angeles","Los Angeles, California","July 20, 1957",Detroit Pistons,10th overall,"Verbum Dei in Los Angeles, California"
1650,Steve Hamilton,Small Forward,1957,6-6,Morehead State University,"Columbia, Kentucky","November 30, 1934",Philadelphia Warriors,67th overall,"Charlestown in Charlestown, Indiana"
1654,Geert Hammink,Center,1993,7-0,Louisiana State University,"Didam, Netherlands","July 12, 1969",Orlando Magic,26th overall,"Thorbecke in Arnhem, Netherlands"
1655,Julian Hammond,Small Forward,1966,6-5,University of Tulsa,"Chicago, Illinois","May 27, 1943",Los Angeles Lakers,82nd overall,"DuSable in Chicago, Illinois"
1656,Tom Hammonds,Power Forward,1989,6-9,Georgia Institute of Technology,"Fort Walton, Florida","March 27, 1967",Washington Bullets,9th overall,"Crestview in Crestview, Florida"
1657,A.J. Hammons,Center,2016,7-0,Purdue University,"Gary, Indiana","August 27, 1992",Dallas Mavericks,46th overall,"Oak Hill Academy in Mouth of Wilson, Virginia"
1659,Darrin Hancock,Small Forward,1994,6-7,University of Kansas,"Birmingham, Alabama","November 3, 1971",Charlotte Hornets,38th overall,"Griffin in Griffin, Georgia"
1662,Phil Hankinson,Small Forward,1973,6-8,University of Pennsylvania,"Augusta, Georgia","July 26, 1951",Boston Celtics,35th overall,"Great Neck in Great Neck, New York"
1668,Tyler Hansbrough,Power Forward,2009,6-9,University of North Carolina,"Poplar Bluff, Missouri","November 3, 1985",Indiana Pacers,13th overall,"Poplar Bluff in Poplar Bluff, Missouri"
1669,Bob Hansen,Shooting Guard,1983,6-6,University of Iowa,"Des Moines, Iowa","January 18, 1961",Utah Jazz,54th overall,"Dowling in West Des Moines, Iowa"
1671,Lars Hansen,Center,1976,6-10,University of Washington,"Copenhagen, Denmark","September 14, 1954",Chicago Bulls,37th overall,"Centennial Secondary in Coquitlam, Canada"
1672,Travis Hansen,Small Forward,2003,6-6,"Utah Valley State College, Brigham Young University","Provo, Utah","April 15, 1978",Atlanta Hawks,37th overall,"Mountain View in Orem, Utah"
1674,Bill Hanzlik,Small Forward and Power Forward,1980,6-7,University of Notre Dame,"Middletown, Ohio","December 6, 1957",Seattle SuperSonics,20th overall,"Beloit Memorial in Beloit, Wisconsin"
1675,Luke Harangody,Power Forward,2010,6-8,University of Notre Dame,"Decatur, Illinois","January 2, 1988",Boston Celtics,52nd overall,"Andrean in Merrillville, Indiana"
1676,Anfernee Hardaway,Small Forward and Point Guard and Shooting Guard,1993,6-7,University of Memphis,"Memphis, Tennessee","July 18, 1971",Golden State Warriors,3rd overall,"Treadwell in Memphis, Tennessee"
1677,Tim Hardaway,Point Guard,1989,6-0,University of Texas at El Paso,"Chicago, Illinois","September 1, 1966",Golden State Warriors,14th overall,"Carver in Chicago, Illinois"
1678,Tim Hardaway Jr.,Shooting Guard,2013,6-6,University of Michigan,"Orinda, California","March 16, 1992",New York Knicks,24th overall,"Palmetto Senior in Pinecrest, Florida"
1679,James Harden,Shooting Guard and Point Guard,2009,6-5,Arizona State University,"Los Angeles, California","August 26, 1989",Oklahoma City Thunder,3rd overall,"Artesia in Lakewood, California"
1681,Charlie Hardnett,Power Forward,1962,6-8,Grambling State University,"Atlanta, Georgia","September 13, 1938",St. Louis Hawks,19th overall,"Carver Vocational in Atlanta, Georgia"
1684,James Hardy,Small Forward and Power Forward,1978,6-8,University of San Francisco,"Knoxville, Alabama","December 1, 1956",New Orleans Jazz,11th overall,"Jordan in Long Beach, California"
1687,Maurice Harkless,Small Forward,2012,6-9,St. John's University,"Queens, New York","May 11, 1993",Philadelphia 76ers,15th overall,"South Kent School in South Kent, Connecticut"
1688,Jerry Harkness,Point Guard,1962,6-2,Loyola University of Chicago,"New York, New York","May 7, 1940",Syracuse Nationals,65th overall,"DeWitt Clinton in Bronx, New York"
1691,Derek Harper,Shooting Guard and Point Guard,1983,6-4,University of Illinois at Urbana-Champaign,"Elberton, Georgia","October 13, 1961",Dallas Mavericks,11th overall,"North Shore in West Palm Beach, Florida"
1692,Justin Harper,Power Forward,2011,6-10,University of Richmond,"Richmond, Virginia","August 30, 1989",Cleveland Cavaliers,32nd overall,"Meadowbrook in Richmond, Virginia"
1693,Mike Harper,Power Forward,1980,6-10,North Park University,"Chicago, Illinois","December 9, 1957",Portland Trail Blazers,56th overall,"Quigley South in Chicago, Illinois"
1694,Ron Harper,Shooting Guard and Point Guard,1986,6-6,Miami University,"Dayton, Ohio","January 20, 1964",Cleveland Cavaliers,8th overall,"Kiser in Dayton, Ohio"
1695,Matt Harpring,Shooting Guard and Small Forward,1998,6-7,Georgia Institute of Technology,"Cincinnati, Ohio","May 31, 1976",Orlando Magic,15th overall,"Marist School in Atlanta, Georgia"
1696,Montrezl Harrell,Power Forward and Center,2015,6-8,University of Louisville,"Tarboro, North Carolina","January 26, 1994",Houston Rockets,32nd overall,"Hargrave Military Academy in Chatham, Virginia"
1697,Josh Harrellson,Power Forward and Center,2011,6-10,University of Kentucky,"St. Charles, Missouri","February 12, 1989",New Orleans Hornets,45th overall,"St. Charles in St. Charles, Missouri"
1701,Othella Harrington,Center and Power Forward,1996,6-9,Georgetown University,"Jackson, Mississippi","January 31, 1974",Houston Rockets,30th overall,"Murrah in Jackson, Mississippi"
1703,Bernie Harris,Power Forward,1974,6-10,Virginia Commonwealth University,"Roanoke, Virginia","November 26, 1950",Buffalo Braves,63rd overall,"Northside in Roanoke, Virginia"
1705,Bob Harris,Power Forward and Small Forward,1949,6-7,Oklahoma State University,"Linden, Tennessee","March 16, 1927",Fort Wayne Pistons,3rd overall,"Battleground Academy in Franklin, Tennessee"
1707,Devin Harris,Point Guard and Shooting Guard,2004,6-3,University of Wisconsin,"Milwaukee, Wisconsin","February 27, 1983",Washington Wizards,5th overall,"East in Wauwatosa, Wisconsin"
1709,Gary Harris,Shooting Guard,2014,6-4,Michigan State University,"Fishers, Indiana","September 14, 1994",Chicago Bulls,19th overall,"Hamilton Southeastern in Fishers, Indiana"
1710,Joe Harris,Shooting Guard,2014,6-6,University of Virginia,"Chelan, Washington","September 6, 1991",Cleveland Cavaliers,33rd overall,"Chelan in Chelan, Washington"
1711,Lucious Harris,Point Guard and Shooting Guard,1993,6-5,"California State University, Long Beach","Los Angeles, California","December 18, 1970",Dallas Mavericks,28th overall,"Cleveland in Los Angeles, California"
1714,Steve Harris,Shooting Guard,1985,6-5,University of Tulsa,"Kansas City, Missouri","October 15, 1963",Houston Rockets,19th overall,"Blue Springs in Blue Springs, Missouri"
1716,Tobias Harris,Power Forward and Small Forward,2011,6-9,University of Tennessee,"Islip, New York","July 15, 1992",Charlotte Bobcats,19th overall,"Half Hollow Hills West in Dix Hills, New York"
1719,Andrew Harrison,Point Guard,2015,6-6,University of Kentucky,"San Antonio, Texas","October 28, 1994",Phoenix Suns,44th overall,"Travis in Pecan Grove, Texas"
1721,David Harrison,Center,2004,7-0,University of Colorado,"Nashville, Tennessee","August 15, 1982",Indiana Pacers,29th overall,"Brentwood Academy in Brentwood, Tennessee"
1723,Jason Hart,Point Guard,2000,6-3,Syracuse University,"Los Angeles, California","April 29, 1978",Milwaukee Bucks,49th overall,"Inglewood in Inglewood, California"
1724,Josh Hart,Shooting Guard,2017,6-5,Villanova University,"Silver Spring, Maryland","March 6, 1995",Utah Jazz,30th overall,"Sidwell Friends in Washington, District of Columbia"
1727,Donnell Harvey,Power Forward and Small Forward,2000,6-8,University of Florida,"Shellman, Georgia","August 26, 1980",New York Knicks,22nd overall,"Randolph-Clay in Cuthbert, Georgia"
1728,Scott Haskin,Center,1993,6-11,Oregon State University,"Riverside, California","September 19, 1970",Indiana Pacers,14th overall,"Beaumont in Beaumont, California"
1729,Clem Haskins,Point Guard and Shooting Guard,1967,6-3,Western Kentucky University,"Campbellsville, Kentucky","July 11, 1943",Chicago Bulls,3rd overall,"Taylor County in Campbellsville, Kentucky"
1731,Trenton Hassell,Shooting Guard and Small Forward,2001,6-5,Austin Peay State University,"Clarksville, Tennessee","March 4, 1979",Chicago Bulls,30th overall,"Clarksville in Clarksville, Tennessee"
1733,Joe Hassett,Shooting Guard,1977,6-5,Providence College,"Providence, Rhode Island","September 11, 1955",Seattle SuperSonics,52nd overall,"La Salle Academy in Providence, Rhode Island"
1734,Scott Hastings,Power Forward and Center,1982,6-10,University of Arkansas,"Independence, Kansas","June 3, 1960",New York Knicks,29th overall,"Independence in Independence, Kansas"
1735,Kirk Haston,Power Forward and Small Forward,2001,6-9,Indiana University,"Lobelville, Tennessee","March 10, 1979",Charlotte Hornets,16th overall,"Perry County in Loblesville, Tennessee"
1736,Vern Hatton,Point Guard and Shooting Guard,1958,6-3,University of Kentucky,"Owingsville, Kentucky","January 13, 1936",Cincinnati Royals,9th overall,"Lafayette in Lexington, Kentucky"
1737,John Havlicek,Shooting Guard and Small Forward,1962,6-5,Ohio State University,"Martins Ferry, Ohio","April 8, 1940",Boston Celtics,7th overall,"Bridgeport in Bridgeport, Ohio"
1738,Spencer Hawes,Power Forward and Center,2007,7-1,University of Washington,"Seattle, Washington","April 28, 1988",Sacramento Kings,10th overall,"Seattle Preparatory School in Seattle, Washington"
1739,Steve Hawes,Center and Power Forward,1972,6-9,University of Washington,"Seattle, Washington","May 26, 1950",Cleveland Cavaliers,24th overall,"Mercer Island in Mercer Island, Washington"
1740,Bubbles Hawkins,Shooting Guard,1975,6-4,Illinois State University,"Detroit, Michigan","June 30, 1954",Golden State Warriors,51st overall,"Pershing in Detroit, Michigan"
1742,Hersey Hawkins,Shooting Guard,1988,6-3,Bradley University,"Chicago, Illinois","September 29, 1966",Los Angeles Clippers,6th overall,"Westinghouse in Chicago, Illinois"
1746,Tom Hawkins,Power Forward and Small Forward,1959,6-5,University of Notre Dame,"Chicago, Illinois","December 22, 1936",Minneapolis Lakers,3rd overall,"Parker in Chicago, Illinois"
1747,Nate Hawthorne,Shooting Guard,1973,6-4,Southern Illinois University,"Mt. Vernon, Illinois","January 15, 1950",Los Angeles Lakers,118th overall,"Mount Vernon in Mount Vernon, Illinois"
